cnt,pdate,title,description,org_link,link
71,2024-02-14 16:54:00,"삼성전자, 기술인재 확보 총력…AI·반도체 등 다방면에서 경력직 대거 채용","애플리케이션 프로세서(AP) 공급업체와 저전력 AP 설계를 위한 개선 방향을 논의할 D램 <b>엔지니어</b>도... 2년 이상의 AI, 머신러닝, <b>데이터</b> 분석 업무 경험자와 중앙처리장치(CPU) 관련 시스템 및 시스템온칩(SoC) 개발 경험자... ",http://www.m-i.kr/news/articleView.html?idxno=1093106,http://www.m-i.kr/news/articleView.html?idxno=1093106
72,2024-02-14 16:52:00,"&quot;AI·전장·반도체 기술 인재 선점&quot;…삼성전자, 대규모 경력사원 채용","AI, 머신러닝, <b>데이터</b> 분석 업무, 중앙처리장치(CPU) 관련 시스템, 시스템온칩(SoC) 개발 경험자 등도 채용한다.... D램 <b>엔지니어</b>도 모집한다. 생활가전(DA) 사업부는 고객 경험·멀티디바이스경험(CX·MDE) 관련 경험자를... ",http://www.inews24.com/view/1686948,https://n.news.naver.com/mnews/article/031/0000812634?sid=101
73,2024-02-14 16:44:00,"'AI부터 반도체·전장까지'...삼성전자, 전 분야에서 대규모 경력직 인재 채용","2년 이상의 AI, 머신러닝, <b>데이터</b> 분석 업무 경험자와 중앙처리장치(CPU) 관련 시스템 및 시스템온칩(SoC) 개발... D램 <b>엔지니어</b>도 모집한다. 생활가전(DA) 사업부는 한종희 부회장이 강조해 온 고객 경험·멀티디바이스경험... ",https://www.newsquest.co.kr/news/articleView.html?idxno=218196,https://www.newsquest.co.kr/news/articleView.html?idxno=218196
74,2024-02-14 16:36:00,"[데일리픽] 생성형 AI, 칩 공급난 해결할까...애플, AI 스타트업 32개 인수",있는 <b>엔지니어</b>들이 미국에는 충분치 않다고 WSJ은 전했다. 글로벌 반도체 EDA(electronic design automation) 업체... AI 칩 시장을 지배하는 엔비디아도 지난해말 자체 <b>데이터</b>로 최적화한 AI 시스템은 칩니모(ChipNeMo)를... ,https://www.digitaltoday.co.kr/news/articleView.html?idxno=505848,https://www.digitaltoday.co.kr/news/articleView.html?idxno=505848
75,2024-02-14 16:22:00,"삼성전자, 경력직 대규모 채용…DX 부문 90여 개 직무 모집","2년 이상의 AI, 머신러닝, <b>데이터</b> 분석 업무 경험자와 중앙처리장치(CPU) 관련 시스템 및 시스템온칩(SoC) 개발... 애플리케이션 프로세서 공급업체와 저전력 AP 설계를 위한 개선 방향을 논의할 D램 <b>엔지니어</b>도 채용한다.... ",http://www.iminju.net/news/articleView.html?idxno=97711,http://www.iminju.net/news/articleView.html?idxno=97711
76,2024-02-14 16:12:00,"“성장동력 확보”…코리아엑스퍼트, 신입·경력 공채 진행","코리아엑스퍼트는 의사결정자동화를 위한 기존 패키지 사업 고도화 외에도 AI·빅<b>데이터</b> 분석, ML옵스(MLOps)... 이번 채용분야는 ▲IT 솔루션 영업 담당자 ▲DT 솔루션 <b>엔지니어</b> ▲의사결정자동화 솔루션 <b>엔지니어</b> ▲JAVA... ",https://www.ddaily.co.kr/page/view/2024021416000742071,https://n.news.naver.com/mnews/article/138/0002166805?sid=105
77,2024-02-14 16:02:00,“ESG 문화 구축…사내 인식 제고와 참여에 초점”,ESG그룹에는 모듈을 주로 생산하는 광학통신솔루션사업부와 컴포넌트사업부에서 근무했던 <b>엔지니어</b>와... 많은 지속가능성 <b>데이터</b>를 어떻게 디지털화할 것인지도 중요한 과제다. 순환경제 측면에서는 또 다른... ,https://magazine.hankyung.com/business/article/202310241437b,https://n.news.naver.com/mnews/article/050/0000071803?sid=101
78,2024-02-14 15:59:00,"&quot;미래는 인재 확보에 달려&quot;…삼성전자, 경력사원 대거 채용 나서(종합)","2년 이상의 AI, 머신러닝, <b>데이터</b> 분석 업무 경험자와 중앙처리장치(CPU) 관련 시스템 및 시스템온칩(SoC) 개발... D램 <b>엔지니어</b>도 모집한다. 생활가전(DA) 사업부는 한종희 부회장이 강조해 온 고객 경험·멀티디바이스경험... ",https://www.yna.co.kr/view/AKR20240214062551003?input=1195m,https://n.news.naver.com/mnews/article/001/0014505155?sid=102
79,2024-02-14 15:56:00,"삼성전자 DX부문, 90여개 직무서 경력사원 대거 채용 나서","2년 이상의 AI, 머신러닝, <b>데이터</b> 분석 업무 경험자와 중앙처리장치(CPU) 관련 시스템 및 SoC(시스템 온 칩)... D램 <b>엔지니어</b>도 모집한다. 생활가전(DA) 사업부는 한종희 부회장이 강조해 온 고객 경험·멀티디바이스경험(CX... ",https://www.viva100.com/main/view.php?key=20240214010003882,https://www.viva100.com/main/view.php?key=20240214010003882
80,2024-02-14 15:50:00,꿀꺽 삼키면 건강 상태 진단하는 마이크로 로봇 ‘가시권’,"복잡하고 미세한 설계 <b>데이터</b> 동료와 공유하며 개발 속도 앞당겨 엔디엑스가 만든 필봇의 초기 버전은 큰... 여러 <b>엔지니어</b>가 가상 공간에 구현한 필봇을 두고, 예컨대 프로펠러를 어디에 달면 좋을지 시뮬레이션을... ",https://www.donga.com/news/It/article/all/20240214/123516678/1,https://n.news.naver.com/mnews/article/020/0003547938?sid=105
81,2024-02-14 15:48:00,삼성전자 “AI·전장 기술인재 선점”…DX 90여개 직무서 대거 경력 채용,"2년 이상의 AI, 머신러닝, <b>데이터</b> 분석 업무 경험자와 중앙처리장치(CPU) 관련 시스템 및 시스템온칩(SoC) 개발... D램 <b>엔지니어</b>도 모집한다. 생활가전(DA) 사업부는 한종희 부회장이 강조해 온 고객경험·멀티디바이스경험... ",https://www.sedaily.com/NewsView/2D5CW26HFI,https://n.news.naver.com/mnews/article/011/0004299513?sid=101
82,2024-02-14 15:47:00,"마이크로소프트, 2024년 주목해야 할 AI 트렌드 공개",또한 선별된 고품질 학습 <b>데이터</b>를 사용해 보다 정확한 결과를 얻을 수 있다. 이에 반해 방대한 양의... 제니퍼 마스맨(Jennifer Marsman) 마이크로소프트 CTO오피스 수석 <b>엔지니어</b>는 “멀티 모달리티(Multimodality)는... ,https://www.inven.co.kr/webzine/news/?news=293133,https://sports.news.naver.com/news.nhn?oid=442&aid=0000169852
83,2024-02-14 15:46:00,"삼성전자, 경력사원 대규모 채용 나서...기술 인재 확보 박차","(머신러닝)/<b>데이터</b> 분석 등의 전문가를 뽑는다. MX사업부는 보안전략 수립 및 솔루션 개발, AP(애플리케이션 프로세서) 공급업체와 저전력 설계에 나설 D램 <b>엔지니어</b>·파워 옵티마이제이션 인재를 뽑고, DA사업부는... ",http://www.asiaa.co.kr/news/articleView.html?idxno=159319,http://www.asiaa.co.kr/news/articleView.html?idxno=159319
84,2024-02-14 15:44:00,"[AI 산업 단신] 삼성전자, LG앤솔, 한화오션, STX, 롯데에머, LIG넥스원","2년 이상의 AI, 머신러닝, <b>데이터</b> 분석 업무 경험자와 중앙처리장치(CPU) 관련 시스템 및 시스템온칩(SoC)... D램 <b>엔지니어</b>도 모집한다. 생활가전(DA) 사업부는 한종희 부회장이 강조해 온 고객 경험·멀티디바이스경험(CX... ",https://www.asiatime.co.kr/article/20240214500278,https://www.asiatime.co.kr/article/20240214500278
85,2024-02-14 15:38:00,"마이크로소프트, 2024년 주목해야 할 3가지 AI 트렌드 공개",또한 선별된 고품질 학습 <b>데이터</b>를 사용해 보다 정확한 결과를 얻을 수 있다. 이에 반해 방대한 양의... 제니퍼 마스맨(Jennifer Marsman) 마이크로소프트 CTO오피스 수석 <b>엔지니어</b>는 “멀티 모달리티(Multimodality)는... ,http://gamefocus.co.kr/detail.php?number=149450,http://gamefocus.co.kr/detail.php?number=149450
86,2024-02-14 15:34:00,"스노우플레이크, 국내 첫 '<b>데이터</b> 슈퍼히어로' 3명 선정","넥슨 이재면 <b>데이터 엔지니어</b>, 더핑크퐁컴퍼니 한예성 소프트웨어 엔지니어, 메가존클라우드 Cloud SA 데이터팀 최경진 팀장 스노우플레이크(Snowflake)는 넥슨코리아(이하 넥슨) 이재면 <b>데이터 엔지니어</b>, 더핑크퐁컴퍼니... ",http://www.koit.co.kr/news/articleView.html?idxno=120521,http://www.koit.co.kr/news/articleView.html?idxno=120521
87,2024-02-14 15:32:00,"마이크로소프트, 2024년 AI 핵심 키워드로 '소형언어모델'과 '모티모달' 꼽아",또한 선별된 고품질 학습 <b>데이터</b>를 사용해 보다 정확한 결과를 얻을 수 있다. 이에 반해 방대한 양의... 제니퍼 마스맨(Jennifer Marsman) 마이크로소프트 CTO오피스 수석 <b>엔지니어</b>는 &quot;멀티 모달리티(Multimodality)는... ,https://www.cctvnews.co.kr/news/articleView.html?idxno=236798,https://www.cctvnews.co.kr/news/articleView.html?idxno=236798
