,기타
53,"['/', '오픽:', 'IM2', '/', '사회생활', '경험:', '중앙일보', '인턴', '8개월', '/', '자율', '주행', '유모차', '논문', '발표', '동상', '수상', '/', '기타:', '정보처리기사']"
54,"['/', '토익:', '845', '/', '한국사검정시험:', '고급']"
55,"['/', '토익:', '865', '/', '한국사검정시험:', '고급']"
56,"['SAS', 'Certified', 'Base', 'Programmer', 'for', 'SAS', '9,', 'SAS', 'Certified', 'Advanced', 'Programmer', 'for', 'SAS', '9', 'SQLD,', 'GBSA', 'SW-tech', '전문교육', '1기', '(Data', 'Scientist', 'Academy)', '(1개월),', '넥슨코리아', '데이터분석', '인턴', '(6개월)']"
57,"['/', '사회생활', '경험:', '한화에스테이트(2년)']"
58,"['/', '토익:', '820,', '토익스피킹:', '140/레벨', '6', '/', '사회생활', '경험:', '현대디지텍', '6개월']"
59,"['/', '토익:', '820,', '토익스피킹:', '140/레벨', '6', '/', '사회생활', '경험:', '현대디지텍', '6개월']"
60,"['SAS', 'Certified', 'Base', 'Programmer', 'for', 'SAS', '9,', 'SAS', 'Certified', 'Advanced', 'Programmer', 'for', 'SAS', '9', 'SQLD,', 'GBSA', 'SW-tech', '전문교육', '1기', '(Data', 'Scientist', 'Academy)', '(1개월),', '넥슨코리아', '데이터분석', '인턴', '(6개월)']"
61,"['/', '토익:', '820', '/', '한국사검정시험:', '고급,', '기타:', '정보처리기사']"
62,"['/', '토익:', '700,', '토익스피킹:', '150/레벨6', '/', '삼성전자서비스,상상발룬티어']"
63,"['/', '토익:', '840,', '오픽:', 'IM2', '/', '사회생활', '경험:', '중소', '유통기업', '1개월']"
64,"['컴활1급,', 'spld,', 'adsp,', '사회조사분석사', '2급']"
65,"['/', '토스', 'LV7', '/', '연구실', '3년차']"
